Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,route_id_left,Stop ID,Stop Name,geometry,index_right,route_id_right,direction,segment_number,speed,trips,dist_meters,longitude,latitude
349118773,cc9f59606733d3bb8103d1777d1de202af759a3f680572a01a8766d64de69f44,01/06/2023 04:17:00 PM,01/06/2023 04:41:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303459,NOSTRAND AV/ST JOHNS PL,POINT (-73.95047417 40.668525),19,B44+,S,2,8.73438164052674,6736,0.0001274280825179031,-73.95047417,40.668525
349110847,cdd955f2dd87dec266b79e0779b4d9e3b299c991d2c12dbe5cb549a68f8593ad,01/06/2023 03:11:00 PM,01/06/2023 04:56:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.94793533 40.63548517),19,B44+,S,2,8.73438164052674,6736,1.3623849032556874e-05,-73.94793533,40.63548517
349110844,84646cf05be9e771cf1b47bbfdec9cf94473ffe279a62a354d2c97b3eb1c269b,01/06/2023 02:17:20 PM,01/06/2023 02:43:03 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,306906,NOSTRAND AV/Flatbush av,POINT (-73.9477531666667 40.6333265),19,B44+,S,2,8.73438164052674,6736,2.9601822397419343e-05,-73.9477531666667,40.6333265
349110795,dad7752860c70ae104141c22cfe2ca603a6aa4bf8c8be4e9701c310cfe2887c3,01/06/2023 02:11:00 PM,01/06/2023 02:19:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,307737,NOSTRAND AV/CHURCH AV,POINT (-73.94853567 40.64128117),19,B44+,S,2,8.73438164052674,6736,3.5518228746266254e-07,-73.94853567,40.64128117
349110791,84d31682407f0cd4f4498c3f1538f8edfdbe62da0a787d52c6e19777ef94336b,01/06/2023 02:11:21 PM,01/06/2023 02:19:10 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,307737,NOSTRAND AV/CHURCH AV,POINT (-73.9485866666667 40.6418045),19,B44+,S,2,8.73438164052674,6736,6.454373754148695e-06,-73.9485866666667,40.6418045
349105525,765dafd58fa961a7f068866e30f4feb9d3ab0b8cb9e90a1f47848bbd8949117b,01/06/2023 09:33:38 AM,01/06/2023 09:43:49 AM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9476808333333 40.6333196666667),19,B44+,S,2,8.73438164052674,6736,4.209686403041179e-05,-73.9476808333333,40.6333196666667
349100310,9b305cf38c071a5a2e4189d226fe62588b48a4848bb501a9249a839a26260474,01/06/2023 01:33:05 PM,01/06/2023 02:07:34 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303945,ROGERS AV/CLARKSON AV,POINT (-73.953737 40.66248),13,B44+,N,1,8.985104512569402,6778,1.528321470094372e-07,-73.953737,40.66248
349084123,366037ecc2d705567f59a1963df67589b53c7a30eb331c49daece44e4d899aa9,01/06/2023 07:15:21 AM,01/06/2023 08:47:11 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9479228333333 40.6352843333333),19,B44+,S,2,8.73438164052674,6736,2.161550725537308e-05,-73.9479228333333,40.6352843333333
349084122,9a09c8ce470f054fc29a4981347bf9ade1545f50b1051b4e22505e479d7a3868,01/06/2023 08:25:12 AM,01/06/2023 09:35:27 AM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,303376,NOSTRAND AV/AV L,POINT (-73.9474718333333 40.6304448333333),20,B44+,S,3,9.600707752669802,6725,4.333386959716411e-05,-73.9474718333333,40.6304448333333
349084122,9a09c8ce470f054fc29a4981347bf9ade1545f50b1051b4e22505e479d7a3868,01/06/2023 08:25:12 AM,01/06/2023 09:35:27 AM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,303376,NOSTRAND AV/AV L,POINT (-73.9474718333333 40.6304448333333),14,B44+,N,2,10.117169753113812,6535,4.333386959716411e-05,-73.9474718333333,40.6304448333333
